asset_type_id,asset_type,buffer_distance_m,description
1,Mining Operations,50000,"Facilities involved in the extraction and initial processing of minerals and metals, such as mines, quarries, and related infrastructure."
2,Energy Production,20000,"Facilities that generate, distribute, or store energy, including power plants, substations, and fuel depots."
3,Oil & Gas Facilities,20000,"Facilities involved in the extraction, initial processing, and distribution of oil and gas, and related infrastructure."
4,Heavy Industrial & Manufacturing,20000,"Facilities dedicated to intensive production and processing, including manufacturing plants and processing units."
5,Agricultural & Food Production,10000,"Operations using land for growing or producing food, such as farms, plantations, and food and beverage processing facilities."
6,Transportation and Logistics Facility,10000,"Infrastructure designed for the movement and storage of goods and people, such as ports, rail yards, airports, and depots."
7,Electricity Distribution,10000,"Facilities responsible for the distribution and management of electrical power, including substations and distribution points."
8,IT Facility/Data Center,5000,"Facilities dedicated to housing IT infrastructure and server operations, including data centers and related equipment."
9,R&D Facility,5000,"Facilities focused on research, development, and testing, including laboratories, innovation hubs, and testing centers."
10,Warehouse,5000,"Buildings for storage purposes, including general, cold, and hazardous material storage facilities."
11,Office/Housing,5000,"Properties used for administrative, corporate, residential, or educational purposes, including office buildings and housing complexes."
12,Retail,5000,"Facilities that sell goods and services directly to consumers, such as stores, showrooms, and retail outlets."
13,Other (50km buffer area of influence),50000,"Other operations, considered to have up to 50km around it as area of influence."
14,Other (20km buffer area of influence),20000,"Other operations, considered to have up to 20km around it as area of influence."
15,Other (10km buffer area of influence),10000,"Other operations, considered to have up to 10km around it as area of influence."
16,Other (5km buffer area of influence),5000,"Other operations, considered to have up to 5km around it as area of influence."
